Meadow Life Site Ref,Farm,Field number (RLR),NGR,Area,Easting,Northing,Surveyor's name(s),restdate,resttype,Date,Agrostis capillaris,Agrostis stolonifera,Agrostis spp,Alopecurus geniculatus,Alopecurus pratensis,Anthoxanthum odoratum,Arrhenatherum elatius,Avenula pratense,Avenula pubescens,Briza media,Bromus hordaceus,Cynosurus cristatus,Dactylis glomerata,Deschampsia cespitosa,Elymus repens,Festuca ovina,Festuca rubra,Festulolium loliaceum,Festuca sp (rubra or ovina),Glyceria fluitans,Holcus lanatus,Holcus mollis,Lolium perenne,Molinia caerulea,Phleum bertolonii,Phleum pratense,Poa annua,Poa pratensis,Poa spp,Poa trivialis,Schedonorus pratensis,Trisetum flavescens,Vulpia bromoides,Achillea millefolium,Achillea ptarmica,Ajuga reptans,Alchemilla glabra,Alchemilla xanthochlora,Alchemilla sp,Anemone nemorosa,Anthriscus sylvestris,Bellis perennis,Caltha palustris,Campanula rotundifolia,Cardamine flexuosa,Cardamine pratensis,Carex caryophyllea,Carex disticha,Carex flacca,Carex hirta,Carex nigra,Carex spp,Carex ovalis,Carex panicea,Centaurea nigra,Cerastium fontanum,Cerastium glomeratum,Cirsium arvense,Cirsium heterophyllum,Cirsium palustre,Cirsium vulgare,Conopodium majus,Crepis capillaris,Crepis paludosa,Cruciata laevipes,Dactylorhiza fuchsii,Digitalis purpurea,Epilobium parviflorum,Equisetum arvense,Equisetum sylvaticum,Euphrasia agg.,Filipendula ulmaria,Galium aparine,Galium mollugo,Galium odoratum,Galium palustre,Galium saxatile,Galium spp,Gallium verum,Geranium pratense,Geranium sylvaticum,Heracleum sphondylium,Hieracium pilosella,Hyacinthoides non scripta,Hypochaeris radicata,Juncus acutiflorus,Juncus articulatus,Juncus bufonius,Juncus conglomeratus,Juncus effusus,Juncus inflexus,Lathyrus pratensis,Leontodon autumnalis,Leontodon hispidus,Leucanthemum vulgare,Listera ovata,Lotus corniculatus,Lotus pedunculatus,Luzula campestris,Luzula multiflora,Lychnis flos-cuculi,Medicago spp,Montia fontana,Myrrhis odorata,Myosotis arvensis,Myosotis discolor,Ophioglossum vulgatum,Persicaria bistorta,Plantago lanceolata,Plantago major,Potentilla erecta,Primula veris,Prunella vulgaris,Pteridium aquilinum,Ranunculus acris,Ranunculus bulbosus,Ranunculus ficaria,Ranunculus repens,Rhinanthus minor,Rumex acetosa,Rumex crispus,Rumex obtusifolius,Sanguisorba officinalis,Senecio jacobea,Silene dioica,Sonchus oleraceus,Stachys officianalis,Stellaria alsine,Stellaria graminea,Stellaria holostea,Stellaria media,Succisa pratensis,Taraxacum agg.,Trifolium campestre,Trifolium dubium,Trifolium pratense,Trifolium repens,Tussilago farfara,Urtica dioica,Veronica agrestis,Veronica arvensis,Veronica chamaedrys,Veronica filiformis,Veronica officinalis,Veronica serpyllifolia,Veronica spp,Veronica persica,Vicia cracca,Vicia sepium,Viola spp
NY60-Bowderdale Head,bowderdale head,NY6703 9988,NY67030 99880,Pennines,367030,599880,clairecornish,,,04/06/2012,,,,30,,90,,,,,,90,,,,,10,,,,90,,90,,,,30,10,,60,,,,,,,,,,,,20,40,,,70,,,,,,,,,,80,10,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,10,,,,50,,,,,,,,,,70,,,60,,,,,,,,,90,,,60,30,80,,10,,,,,,10,,,,,,,,,30,,,,,,,,,,,,,
NY60-Coat Flatt 1,Coat Flatt,NY6206 5520,ny62553 06201,North Lakes,362553,506201,claire cornish,,,01/07/2008,50,,,,,,,,,,25,25,,,,,,,,,5,,50,,,,,5,,50,,,,,,,,,,,5,,,,,5,,,,,,,,,,50,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,25,,,25,,,,,,50,,,50,,50,,,,,,,,,,,,,,,,25,25,,,,,25,,,,,,,5,
NY60-Coat Flatt 1,Coat Flatt,NY6206 5520,ny62553 06201,North Lakes,362553,506201,claire cornish,,,21/07/2009,100,,,,56,89,,,,,,100,33,,,,56,,,,100,,78,,,,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,11,56,,11,,,,,,,,,,,,,,78,,,,,,100,,,89,67,67,,,,,,,,,,,,,,,,89,100,,,,,11,,,,,,,,
NY60-Coat Flatt 1,Coat Flatt,NY6206 5520,ny62553 06201,North Lakes,362553,506201,claire cornish,,,07/06/2010,100,,,,20,,,,,,,100,20,,,,100,,,,90,,100,,,,,70,,40,,10,,,,,10,,,,,20,,,,50,,,,,,,,,,70,,,,,,50,,,,,,,,,100,,,,,,,,,,,,,,20,,,,,,,,40,,10,,,,50,,,,,,,80,,,80,,,,,,100,,,70,100,90,,,,,,,,,,,,,20,,,100,100,,,,,30,,,10,,,,,
NY60-Coat Flatt 1,Coat Flatt,NY6206 5520,ny62553 06201,North Lakes,362553,506201,A.N. OTHER,,,01/06/2012,10,,,,20,100,,,,,10,100,50,,,,100,,,,100,,30,,,,,40,,60,,,,,,,20,,,,10,,,,,70,,,,,,,,,,90,,,,,,70,,,,,,,,,100,,,,,,,,,,,,,,30,,,,,,,40,40,10,10,,,,50,,,,,,,40,,,100,,,,10,,100,10,,80,100,100,,,,,,,,,,,,,20,,,100,100,,,,,20,,,,,,,,
NY60-Coat Flatt 2,Coat Flatt,NY6206 5905,ny62580 06055,North Lakes,362580,506055,claire cornish,,,01/07/2008,50,,,,25,,,,,,,50,,,,,50,,,,25,,25,,,,,,,50,,,,,,,,,,,,25,,,,25,,,,,,,,,,25,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,5,,,,,,,,,,,,,,25,,,,,,50,,,25,,50,,,,,,,,,,,,,,,,25,25,,,,,,,,,,,25,,
NY60-Coat Flatt 2,Coat Flatt,NY6206 5905,ny62580 06055,North Lakes,362580,506055,claire cornish,,,21/07/2009,100,,,,30,80,,,,,20,90,20,,,,80,,,,100,,40,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,10,,,90,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30,,,,,,,,,,,,,,,,10,,,,,,100,,,70,10,80,,,,,,,,,,,,,,,,10,90,,,,,30,,,,,,10,,
NY60-Coat Flatt 2,Coat Flatt,NY6206 5905,ny62580 06055,North Lakes,362580,506055,claire cornish and AN Other,,,07/06/2010,10,,,,30,100,,,,,30,90,40,,,,100,,,,90,,80,,,,10,50,,90,,10,,,,,,,,,,,,,,30,,,,,,,,,,90,,,,,,70,,,,,,,,,50,,,,,,,,,,,,,,30,,,,,,,10,,,,,,,30,,,,,,,40,,,60,,,,,,100,,,20,100,100,,10,,,,,,,,,,,10,,20,40,80,,,,,20,,,,,,,,
NY60-Coat Flatt 2,Coat Flatt,NY6206 5905,ny62580 06055,North Lakes,362580,506055,claire cornish and AN Other,,,04/06/2012,,,,,25,100,,,,,,100,12,,,,88,,,,88,,38,,,,,50,,25,,,,,,,,,,,,,,,,25,,,,,,,,,,63,,,,,,75,,,,,,,,,38,,,,,,,,,,,,,,13,,,,,,,13,88,,,,,,38,,,,,,,88,,,100,,,,,,100,13,,88,75,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY60-Coat Flatt 3,Coat Flatt,ny6206 4493,ny62438 05932,North Lakes,362438,505932,claire cornish and tim nicholson,,,27/06/2008,92,,,,7,100,,,,,,92,,,,,,,92,,100,,7,,,,,,,92,14,,,,,,23,,,,,7,,,,7,,,,15,,,7,,,46,,,,,,62,,,,,,,7,,15,,,,,,,,,,,,,,38,,,,7,,,31,38,7,15,,,,31,,,,,,,23,,,100,,,,100,,,,,15,77,85,,,,,,,,,,,,,23,,,77,85,,,,,,,,,,,15,7,
NY60-Coat Flatt 3,Coat Flatt,ny6206 4493,ny62438 05932,North Lakes,362438,505932,claire cornish,,,22/06/2010,100,,,,,89,,,,,,89,,,,,89,,,,56,,33,,,,,13,,89,,,,,,,22,,,,,,,,,,,,,,,,11,,,67,,,,,,22,,,,,,,,,89,,,,,,,,,,,,,,33,,,,,,,11,44,22,,,,,11,,,,,,,100,,,89,,,,,,100,,,,89,100,,,11,,,,,,,,,,33,,11,89,89,,,,,33,,,,,,22,11,
NY60-Coat Flatt 3,Coat Flatt,ny6206 4493,ny62438 05932,North Lakes,362438,505932,claire cornish,,,04/06/2012,,,,,10,100,,,,,,90,,,,,100,,,,90,,10,,,10,,40,,40,,,,,,,10,,,,,20,,,,20,,,,,,,10,,,50,,,,,,50,,,,,,,20,,20,,,,,,,,,,,,,,40,,,,,,,20,70,,30,,,,80,,,,,,,60,,,100,,,,,,90,,,10,60,80,,,,,,,,,,,,,50,,,100,100,,,,,20,,,,,,10,10,
NY60-Dyke Farm 1,Dyke farm,ny6004 0539,ny60046 04407,Pennines,360046,504407,claire cornish,,,28/07/2009,100,,,,20,100,,,,,,100,10,,,,80,,,,90,,20,,,,,,,30,10,50,,,,,10,,,,,,,,,10,,,,,,,10,,,40,,,,,,40,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,20,100,10,,,,,10,,,,,,,50,,,100,,,,10,,100,,,20,80,70,,,10,,,,,,,,,,40,,,100,60,,,,,20,,,,,,,20,
NY60-Dyke Farm 2,Dyke farm,ny6004 0854,ny60079 04538,Pennines,360079,504538,claire cornish,,,28/07/2009,100,,,,,86,,,,,,100,,,,,86,,,,,100,14,,,,,,,71,14,,,14,,,,,,,,,,,,,,,,,,,71,,,86,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,14,,,14,,,57,,,,,43,14,,,,,,,57,,,71,,,,,,100,,,100,57,86,,14,,,,,,,,,,,,,,86,71,,,,,,,,,,,,,
NY60-Dyke Farm 2,Dyke farm,ny6004 0854,ny60079 04538,Pennines,360079,504538,claire cornish,,,28/05/2012,100,,,50,,,,,,,,50,,,,,70,,,,90,,80,,,,30,,,80,,,,,,,,,,,,40,,,20,40,,,,,20,,,,,90,10,,,,,10,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,20,10,,,,10,50,,,,30,,,80,,,,,50,,30,,90,,,50,80,70,,10,,,,,,,,,,,10,,,50,80,,,,10,,,,20,,,,,
NY60-Mazonwath 1,high green lane,ny6808 9236,ny68917 08357,North Lakes,368917,508357,claire cornish,,,27/05/2011,,,,,60,100,,,,,30,,,,,,20,,,,90,,80,,,20,,,,10,,,,,,,,,,,,90,,,,,,,,,,,,,,100,70,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,100,,10,70,10,100,,,,,,,,,,,,,70,,,,90,,,,30,40,,,,,,,10,
NY60-Mazonwath 1,high green lane,ny6808 9236,ny68917 08357,North Lakes,368917,508357,claire cornish,,,25/05/2012,,,,,40,100,,,,,90,,10,,,,60,,,,100,,100,,,10,,10,,80,,,,,,,10,,,,,100,,,40,40,,,,,,,,,,100,100,,,,,10,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,90,,,20,,,,,,100,,40,80,100,100,,,10,,,,,,,,10,,80,,30,30,100,,,100,,50,,,60,,,,,
NY60-Mazonwath 2,High Green Lane,NY6908 0531,ny69046 08306,North Lakes,369046,508306,claire cornish,,,27/05/2011,,,,10,50,80,,,,,,,40,,,,60,,,,90,,100,,,20,,,,30,,,,,,,10,,,,,90,,,,,,,,,,,,,,100,80,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,90,,100,,10,20,,,,,,,,,,40,,,10,80,,,,,50,,,,,,,,
NY60-Mazonwath 2,High Green Lane,NY6908 0531,ny69046 08306,North Lakes,369046,508306,claire cornish,,,25/05/2012,,,,10,40,100,,,,,90,,30,,,,,,,,100,,100,,,60,,,,100,,,,,,,,,,,,100,,,80,70,,,,,,,,,,100,90,,,,,20,,,,,,,,,,40,,,,,,,,,,10,,,,,,,,,,,10,,,,,,,,,,10,,,100,,,30,,,,,,100,,10,100,90,100,,20,50,,,,,,,,10,,60,,,50,100,,,50,,40,,,100,,,,,
NY61-Coat Flatt,Coat Flatt,NY6205 1184,ny62112 05837,North Lakes,362112,505837,david cole,,,26/06/2008,89,5,,,78,94,33,,,,,28,39,,,,100,,,,100,,22,,,5,,,,72,,28,,28,,,50,61,,,5,,,,,11,,,,,,,,,,11,,11,,,,22,,,,,,,,,,5,,,,,,,,22,94,,,,,,,,,,,67,,,28,,,,5,,,,,,,17,,22,100,,,,,,100,,,11,11,78,,,61,,,,,,,,,,28,,,61,44,,,,,44,,,,,,5,50,
NY70-Back Field,Whin Gill,ny7809 4915,ny78491 09153,Pennines,378491,509153,martin holdgate,,,03/07/2011,,,25,,,,,,,,,,,,,,25,,,,5,,25,,,,25,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,25,,,,,,5,,,,,,,,,,25,,,,,,,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,50,,,25,5,25,,5,,,,,,,,,,,,,,25,,,5,,,,,,,,,,25,
NY70-Back Field,Whin Gill,ny7809 4915,ny78491 09153,Pennines,378491,509153,helga frankland,,,10/06/1997,,,,,75,50,50,,,,75,,50,,,,,,,,75,,75,,,,,,,75,,,,,,,,,,,75,50,,,,50,,,,,,,,,75,50,,25,,,,,,,,,,,,,,75,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,75,,,75,,,,25,25,,,,,,,,,,50,,,75,50,,25,,,50,,,,,,25,75,
NY70-Back Field,Whin Gill,ny7809 4915,ny78491 09153,Pennines,378491,509153,john o reilly,,,01/07/2007,,,,,,,,,,,50,100,,,,,75,,,,100,,100,,,,,,,100,,5,,,,,,,,,100,25,,,,,,,,,,,,,5,50,,5,,,,,,,,,,,,,,25,,,,,,,,5,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,75,,,,,,100,,,25,5,50,,,,,,,,,,,,,5,,,100,100,,5,,,25,,,,,,5,25,
NY70-Cow Pasture,Whin Gill,ny7809 3128,ny78326 09295,Pennines,378326,509295,martin holdgate,,,03/07/2011,,,,,,,,,,,50,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,25,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,50,,50,,,,,,,,,,,,,,,,25,50,,5,,,5,,,,,,,5,
NY70-Cow Pasture,Whin Gill,ny7809 3128,ny78326 09295,Pennines,378326,509295,helga frankland,,,10/06/1997,,,,,50,75,,,,,50,75,,,,,50,,,,50,,,,,,,,50,,50,,,,,,,,,,,50,,,,50,,,,,,,,,,50,,25,,,25,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,50,,,,,,75,,,75,,50,,,,,,,,,50,,,,50,,,50,50,,,,,50,,,,,,,,
NY70-Cow Pasture,Whin Gill,ny7809 3128,ny78326 09295,Pennines,378326,509295,john o reilly,,,01/07/2007,,,,,75,50,,,,,25,75,,5,,,100,,,,100,,100,,,,,,,75,,5,,,,,,,,,5,,,,,5,,,,,,,,,,50,,5,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,50,,,75,5,100,,5,,,,,,,,,,,,,,5,,,5,,,5,,,,,,,5,
NY70-Harkerland Meadow,Whin Gill,ny7809 4079,ny78417 09878,Pennines,378417,509878,martin holdgate,,,03/07/2011,,,,,,25,,,,,25,,25,,,,50,,,,25,,50,,,5,,,50,,,25,,,,,,,,,5,5,,,,,,,,,,,,,,25,,5,,,,5,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,74,,,25,50,50,,,,,,,,,,,,,,,,25,25,,,,,5,,,,,,,25,
NY70-Harkerland Meadow,Whin Gill,ny7809 4079,ny78417 09878,Pennines,378417,509878,martin holdgate,,,13/07/2012,,,,,,25,,,,,25,25,50,,,,,,,,75,,50,,,50,,,,25,,25,,,,,,,,,5,,,,,,,,,,,,,,,25,,,,,,5,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,50,,,,,,25,25,,5,25,25,,,,,,,,,25,,,,,,,25,25,,5,,,5,,,,,,,5,
NY70-Harkerland Meadow,Whin Gill,ny7809 4079,ny78417 09878,Pennines,378417,509878,helga frankland,,,10/06/1997,,,,,50,,,,,,100,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,50,50,,,,25,,,,,,,,,25,50,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,50,,,,,,,,,75,,,50,,50,,,,,,,,,,,,,75,,,75,75,,50,,,50,,,,,,,75,
NY70-Harkerland Meadow,Whin Gill,ny7809 4079,ny78417 09878,Pennines,378417,509878,john o reilly,,,01/07/2007,,,,,100,,,,,,100,,,,,,,,,,100,,100,,,5,,,,100,,5,,,,,,,,,50,,,,,,,,,,,,,,,75,,5,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,50,,,,,,100,,,25,50,50,,,,,,,,,,,,,,,,50,100,,,,,25,,,,,,,5,
NY70-Harkerland Pasture,Whin Gill,ny7809 4995,ny78494 09948,Pennines,378494,509948,martin holdgate,,,03/07/2011,,,,,,25,,,,,,,,,,,50,,,,5,,50,,,25,,,,,,25,,,,,,,,,5,,,,,,,,,,,,,,,50,,5,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,50,,,25,50,50,,,,,,,,,,,,,,,,25,25,,,,,5,,,,,,,25,
NY70-Harkerland Pasture,Whin Gill,ny7809 4995,ny78494 09948,Pennines,378494,509948,helga frankland,,,10/06/1997,,,,,50,,,,,,100,,50,,,,,,,,25,,50,,,,,,,,,,,,,,,,,,50,50,,,,50,,,,,,,,,,75,,50,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,50,,,,,,50,,,50,25,,,,,,,,,,,,,,50,,,,,,25,,,50,,,,,,,50,
NY70-Harkerland Pasture,Whin Gill,ny7809 4995,ny78494 09948,Pennines,378494,509948,john o reilly,,,01/07/2007,,,,,75,25,,,,,100,,,,,,100,,,,75,,100,,,,,,,100,,100,,,,,,,,,50,25,,,,5,,,,,,,,,,50,,5,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,100,,,50,75,100,,,,,,,,,,,,,5,,,100,,,,,,5,,,,,,,25,
NY70-Harkerland Pasture,Whin Gill,ny7809 4995,ny78494 09948,Pennines,378494,509948,martin holdgate,,,13/07/2012,,,,,25,,,,,,25,,5,,,,,,,,50,,25,,,25,,,,5,,5,,,,,,,,,5,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,25,25,,5,5,5,,,,,,,,,25,,,,5,,,25,25,,,,,5,,,,,,,25,
NY70-High Greenside,High Greenside,NY7003 7476,ny70672 03707,Pennines,370672,503707,Claire Cornish,,,30/06/2010,11,,,22,55,55,,,,,,22,22,,,,22,,,,44,,100,,,88,,,,100,,22,,,,,,,,,,100,,,,11,,,,,,,,,,33,100,,,,,11,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,88,,,100,100,88,,,,,,,,11,,,,,22,,,88,88,,,,,,,,,,,,,
NY70-High Greenside,High Greenside,NY7003 7476,ny70672 03707,Pennines,370672,503707,Claire Cornish,,,25/06/2012,,,,20,60,90,,,,,90,90,10,,,,20,,,,50,,90,,,50,,40,,,,10,,,,,,,,,20,80,,,,20,,,,10,,,,,,90,70,,,,,10,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,10,,,60,,,40,,,,,,90,,,100,90,80,20,10,,,,,,,,,,,20,,,100,100,,,,20,,,,,,,,,
NY70-High Greenside,High Greenside,NY7003 7476,ny70672 03707,Pennines,370672,503707,Claire Cornish,,,18/06/2008,,,,,40,70,,,,,100,,20,,,,,10,10,,90,,100,,,50,,,,80,,10,,10,,,,,,,10,100,,,,,,,,,,,,,,60,100,10,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,60,,,20,,,,,,70,,,90,100,,,30,,,,,,,,,10,,50,,,50,80,,,10,,,,,20,,,,,
NY70-Kilnmire 1,Kilnmire,NY7102 6597,ny71645 02971,North Lakes,371645,502971,claire cornish,,,,67,,,67,42,100,,,,,,58,8,,,,8,,,,100,,100,,,8,,58,,,75,8,,,,,,,,,8,33,42,,,,,,,,,,,,,8,,,,,,,,,,,,,,,17,17,,,,,,,,,25,,,,,,,,,,,,92,,,,,,,,,,,,,8,,,33,,,,,,100,,,100,100,83,,8,83,,,,,,,,,,8,,,100,100,,,,,,,,,,,,,
NY70-Kilnmire 2,kilnmire,ny7203 0922,ny72088 03207,North Lakes,372088,503207,claire cornish,,,10/07/2008,62,,,15,46,100,,,,,23,38,7,,,,,,,,100,,100,,,15,,,,85,23,,,,,,,,,,,15,31,,,,,,,,,,,,7,23,15,,,,,,,,,,,,,,,77,,,,,,,,,,,,,,,,,,,,38,100,,,,,,,,,,,,,33,,,77,,,,,,100,,,100,100,69,,,69,,,,,,,,,,7,,,85,69,,,,,,,,,,,,,
NY70-New Close,Whin Gill,ny7909 0542,ny79027 09394,Pennines,379027,509394,martin holdgate,,,03/07/2011,,,,,,,,,,,25,5,5,,,,25,,,,5,,50,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,25,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,50,,,,5,,,5,,,,,,,,,,,,,,25,25,,,,,,,,,,,,,
NY70-New Close Meadow,Whin Gill,ny79090542,ny79027 09394,Pennines,379027,509394,helga frankland,,,14/07/1995,,,,,,,100,100,,,,,,,,,,,50,,100,,100,,,50,,,,,,,,50,,,,,,,75,,,,,,,,,,,,,,,100,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,100,,,,,,25,,,,,75,,,,,,,,,,,,,,,,50,50,,,,,50,,,,,,,,
NY70-New Close Meadow,Whin Gill,ny79090542,ny79027 09394,Pennines,379027,509394,john o reilly,,,01/07/2007,,,,,5,,,,25,,50,100,5,,,,100,,,,75,,75,,,,,,,25,5,50,,,,,,,,,50,50,,,,5,,,,,,,,,,100,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,5,,,75,,,,,,100,,,25,50,100,,,,,,,,,,,,,,,,75,100,,5,,,25,,,,,,,5,
NY70-Rowfoot 2,Row Foot,NY7202 7389,NY72932 02890,North Lakes,372932,502890,diane dobson,,,13/07/2006,100,90,,30,,70,,,,,,90,,,,,40,,,10,10,,90,,,,,,,90,10,,,,,,,,,,,10,,,,,,,,,,,10,,,50,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,10,,,,,,90,,,20,,70,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,
NY70-Shady Hill,Whin Gill,ny7809 5811,ny78587 09117,Pennines,378587,509117,martin holdagte,,,03/07/2011,,,,,,,,,,,,,50,,,,25,,,,25,,50,,,25,,,,,,,,,,,,,,,5,,,,,5,,,,,,,,,,25,,,,,,25,,,,,,,,,,5,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,5,25,,5,,,,,,,,,,,,,,25,25,,,,,5,,,,,,,5,
NY70-Shady Hill Meadow,Whin Gill,ny7809 5811,ny78587 09117,Pennines,378587,509117,helga frankland,,,10/06/1997,,,,,50,50,75,,,,,50,50,,,,75,,,,50,,75,,,,,,,50,,,,25,,,,,,,50,50,,,,50,,,,,,,,,,75,,25,,,,50,,,,,,,,,,50,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,75,,75,,25,,25,,,,,,,,,75,,,,25,,25,,50,75,,,,,,,50,
NY70-Shady Hill Meadow,Whin Gill,ny7809 5811,ny78587 09117,Pennines,378587,509117,john o reilly,,,01/07/2007,,,,,50,,25,,,,75,,50,,,,,,,,100,,100,,,,,,,100,,5,,,,,,,,,50,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,5,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,100,,,50,5,100,,5,,,,,,,,,,,,,,25,50,,5,,,5,,,,,,,5,
NY70-Wharton Hall 1,Wharton hall,NY7604 9314,ny76926 04130,Pennines,376926,504130,claire cornish,,,01/07/2011,,,,,70,60,,,,,,,40,,,,10,,,,40,,100,,,,,,,20,,,,,,,,,,,20,40,,,,50,,,,,,,,,,40,10,10,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,10,,100,10,,60,,100,,,,,,,,,,,,,,,,20,90,,,,,,,,10,,,,,
NY70-Wharton Hall 4,Wharton hall,NY7704 0811,ny77085 04100,Pennines,377085,504100,claire cornish,,,01/07/2011,,,,,44,88,,,,,,22,,,,,44,,,,56,,88,,,11,,,,,,,,,,,,,,,22,33,,,,78,,11,,,,,,,,78,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,33,,,,11,,88,,11,,,88,,,,,,,,,,,,,56,,,22,88,,,,,,,,33,,,,,
NY70-Whygill Head 1,low whygill head,ny70103215,ny70100 32150,Pennines,370100,532150,claire cornish,,,28/05/2012,,,,,10,90,,,,,100,40,70,,,,80,,,,90,,100,,,10,,,,20,,,,,,,,,,,90,100,,,,10,,,,,,,,,,100,,,,,,40,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,30,,,100,,,,,,100,40,,20,100,100,,,,,,,,,,,10,,10,,20,70,100,,,,,60,,,20,,,,,
NY70-Whygill Head 1,low whygill head,ny7010 3215,ny70100 32150,Pennines,370100,532150,claire cornish,,,16/06/2008,,,,,25,,,,,,100,25,25,,,,,,5,,50,,75,,,5,,,,75,,5,,,,,,,,,5,5,,,,,,,,,,,,,,50,,,,,,25,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,5,,,,,,,,,25,,,,,25,,,,,,50,,,,,5,,,5,,,,,,,,,,,,,25,75,,,,5,25,,,,,,,25,
NY70-WhygIll Head 2,low whygill head,ny7010 3918,ny70100 39180,Pennines,370100,539180,claire cornish,,,28/05/2012,,,,10,30,80,,,,,40,20,80,,,,20,,20,,80,,80,,,10,20,10,,50,,,,10,,,20,10,,,60,100,,,,10,,,,,,,,,,100,20,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,40,,,,,,100,,,10,100,100,,,,,,,,,,,,,40,,30,20,100,,,,,20,,,100,,,,,
NY70-Whygill Head 2,low whygill head,ny7010 3918,ny70100 39180,Pennines,370100,539180,david cole,,,16/06/2008,,,,,25,25,,,,,75,75,25,,,,25,,,,,25,75,,,,5,,,50,,25,,,,,,,,,50,50,,,,,,,,,,,,,,25,,,,,,50,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,50,,,25,5,25,,,,,,,,,,,,,,,,25,50,,,,,25,,,,,,,,
